LITTORAL,Macabo/Taro,404208,422167,429587,452963,454775
LITTORAL,Maïs,164323,164603,167349,170729,174314
LITTORAL,Manioc,373412,423364,428809,45673,457260
LITTORAL,Oignon,760,671,760,810,824
LITTORAL,Pastèque,3647,3763,3942,7750,7820
LITTORAL,Patate douce,27908,30851,3557,35685,38861
LITTORAL,Piment,697,797,898,1023,1167
LITTORAL,Pomme de terre,422,648,722,743,758
LITTORAL,Riz paddy,34,47,53,57,59
LITTORAL,Sésame,-,-,-,,
LITTORAL,Soja,2789,4622,5283,6076,6150
LITTORAL,Tomates,3560,4538,4699,4805,4838
LITTORAL,Niébé,750,544,782,,
LITTORAL,Voandzou,696,690,900,973,990
LITTORAL,Cacao,19269,21003,111,111,111
LITTORAL,Café robusta,8400,8500,111,111,111
LITTORAL,Mil/Sorgho,111,111,111,111,111
LITTORAL,Poivre,280,300,111,111,111
LITTORAL,Caoutchouc,7334,8532,111,111,111
NORD,Ananas,202493,159187,169750,164827,179661
NORD,Arachide,327,219,221,329,321
NORD,Banane douce,567,594,631,2505,3903
NORD,Banane Plantain,-,-,-,,
NORD,Concombre,-,-,-,,
NORD,Gingembre,233,257,251,260,270
NORD,Gombo,16670,17782,19055,19423,20051
NORD,Haricot sec,,,,
NORD,Palmier à huile,1526,15248,15697,14503,15397
NORD,Igname,6561,6803,6964,7313,6815
NORD,Macabo/Taro,255259,254946,259832,348477,331054
NORD,Maïs,37349,42851,4324,84248,135259
NORD,Manioc,202493,159187,169750,164827,179661
NORD,Oignon,34822,3161,399,49387,62710
NORD,Pastèque,-,-,-,-,338
NORD,Patate douce,27242,29859,32710,44105,53774
NORD,Piment,103,119,133,135,145
NORD,Pomme de terre,25427,38788,43450,48664,54990
NORD,Riz paddy,26665,37036,41354,44990,47824
NORD,Sésame,8037,8609,9705,11287,13126
NORD,Soja,435,726,825,1112,1113
NORD,Tomates,,,,
NORD,Niébé,20169,21874,28530,24736,19789
NORD,Voandzou,600,1054,1195,4253,4717
NORD,Cacao,111,111,111,111,111
NORD,Café robusta,111,111,111,111,111
NORD,Mil/Sorgho,473169,284286,312332,310491,400942
NORD OUEST,Ananas,461,524,562,601,643
NORD OUEST,Arachide,10823,8987,9155,15563,11983
NORD OUEST,Banane douce,59611,39597,40202,35201,35200
NORD OUEST,Banane Plantain,134285,142884,149924,159924,156044
NORD OUEST,Concombre,5038,4935,6294,6609,6939
NORD OUEST,Gingembre,12788,13848,19853,20448,21307
NORD OUEST,Gombo,12310,12410,13053,13053,13053
NORD OUEST,Haricot sec,124777,132094,142445,145294,138320
NORD OUEST,Palmier à huile,32975,35264,43313,48943,54229
NORD OUEST,Igname,103035,108316,111371,100791,96356
NORD OUEST,Macabo/Taro,107464,110744,113956,113956,103355
NORD OUEST,Maïs,216500,216934,20497,224951,215728
NORD OUEST,Manioc,141385,162732,162771,170909,179454
NORD OUEST,Oignon,4783,4305,4799,700,900
NORD OUEST,Pastèque,2024,203,2188,300,2309
NORD OUEST,Patate douce,23444,25781,28165,30768,33613
NORD OUEST,Piment,5538,6470,7160,7201,7265
NORD OUEST,Pomme de terre,52005,80379,89059,90002,91059
NORD OUEST,Riz paddy,32184,43353,49662,54028,74019
NORD OUEST,Sésame,0,0,0,,
NORD OUEST,Soja,2231,3681,4222,4438,4664
NORD OUEST,Tomates,47660,52222,59524,50115,53488
NORD OUEST,Niébé,251,273,356,370,385
NORD OUEST,Voandzou,1975,3461,3935,4057,4183
NORD OUEST,Cacao,47.1,67.2,111,111,111
NORD OUEST,Café robusta,13.9,32.1,111,111,111
NORD OUEST,Mil/Sorgho,6985,4118,4997,4569,450
NORD OUEST,Morelle Noire (huckleberry),32.56,126.9,111,111,111
